Age,Credit Score,Home Maintenance,Image Filename,Insured,Monthly Income,Previous Insurance Claims
54,601.4407060171249,Occasionally,image_0000.jpg,1,5555.862913254483,1
52,677.6219006089269,Frequently,image_0001.jpg,1,4175.986484742197,0
46,714.8559222588636,Occasionally,image_0002.jpg,1,5809.415922424635,2
49,718.3660773342505,Occasionally,image_0003.jpg,1,3673.5917020601046,3
42,762.1021947159544,Occasionally,image_0004.jpg,0,5554.626620750911,1
49,638.3363973117662,Rarely,image_0005.jpg,1,3713.1158032035464,0
45,554.0162163002456,Occasionally,image_0006.jpg,0,5155.408037456303,1
51,721.67997193115,Never,image_0007.jpg,0,4207.223057186971,0
38,813.6379846338453,Rarely,image_0008.jpg,0,4923.307000133499,3
48,759.8397742914956,Frequently,image_0009.jpg,1,6181.491940577415,1
52,707.6436082148522,Occasionally,image_0010.jpg,1,5771.891706627764,3
45,468.69801014434495,Occasionally,image_0011.jpg,0,4479.23166378747,1
50,456.1888154210596,Never,image_0012.jpg,0,3530.8703385376707,1
37,697.4992983206002,Rarely,image_0013.jpg,0,4045.3499818387504,2
48,734.3574342276662,Occasionally,image_0014.jpg,0,6078.386249101752,3
42,533.3717397566976,Occasionally,image_0015.jpg,0,3508.137639640791,0
47,778.0530687737815,Never,image_0016.jpg,0,5179.103755063273,0
52,678.3532597002891,Never,image_0017.jpg,0,5595.475959775879,0
41,674.4869216261475,Never,image_0018.jpg,1,3891.286891579856,1
44,473.25866513547686,Never,image_0019.jpg,0,3446.282359699142,0
40,815.2977992398983,Frequently,image_0020.jpg,0,4209.537477059352,0
37,707.9895512750912,Occasionally,image_0021.jpg,1,6081.384436572279,1
44,482.92322734555523,Occasionally,image_0022.jpg,0,2025.5457965554438,0
37,727.8373970806925,Occasionally,image_0023.jpg,1,5637.553122539202,2
40,645.0513136079975,Rarely,image_0024.jpg,0,4325.782927475794,1
43,545.4141777145348,Never,image_0025.jpg,0,4163.9206863817,1
43,781.5389635126062,Occasionally,image_0026.jpg,1,5528.976456372214,2
52,560.351447413355,Never,image_0027.jpg,1,2899.792415215048,0
53,600.0404721375969,Rarely,image_0028.jpg,0,4060.501422712323,0
48,535.5376436033357,Rarely,image_0029.jpg,1,3408.839180878501,1
54,678.6153532347936,Frequently,image_0030.jpg,0,4924.01460982799,1
51,699.2915881928493,Occasionally,image_0031.jpg,0,5482.13294582549,3
42,659.957558144277,Never,image_0032.jpg,1,4504.102758843609,1
52,513.5313949955126,Rarely,image_0033.jpg,0,3322.1487777190905,2
45,831.3833349074285,Rarely,image_0034.jpg,1,4558.761620847005,0
50,722.2917864625599,Frequently,image_0035.jpg,0,6521.559403731602,1
46,701.9173678620657,Occasionally,image_0036.jpg,1,5606.9065545509875,0
42,493.00477345393585,Rarely,image_0037.jpg,0,2445.245478151266,0
49,644.2311918857758,Occasionally,image_0038.jpg,1,5405.657073224933,0
46,826.6526841302727,Rarely,image_0039.jpg,1,6392.677819949317,2
41,758.1867810040432,Rarely,image_0040.jpg,1,5460.024967351574,2
42,529.8854812175674,Rarely,image_0041.jpg,1,4769.40814522828,0
51,625.8968121440361,Never,image_0042.jpg,1,5203.254083616159,0
41,681.4050790049906,Rarely,image_0043.jpg,1,5562.374777755153,0
42,739.9433809943465,Never,image_0044.jpg,0,5810.224967489909,1
48,766.183042219505,Rarely,image_0045.jpg,0,5646.324127566603,0
50,761.3508000999499,Rarely,image_0046.jpg,1,4818.330492703764,0
52,477.42815743604467,Rarely,image_0047.jpg,0,3657.590454356638,0
45,639.1038913122435,Rarely,image_0048.jpg,1,3105.3182191996148,1
48,855.0391452967435,Occasionally,image_0049.jpg,1,5685.360495822684,2
